        MR        MRT         R2
 5.980E+02  4.388E+02  5.384E-01
 5.151E+02  4.573E+02  7.881E-01
 1.184E+03  8.605E+02  5.282E-01
 6.094E+02  1.585E+02  6.762E-02
 7.689E+02  6.657E+02  7.496E-01
 1.441E+03  4.775E+02  1.098E-01
 9.724E+02  1.495E+02  2.365E-02
 8.536E+02  7.658E+02  8.050E-01
 6.200E+02  1.761E+02  8.071E-02
 1.795E+03  2.947E+02  2.696E-02
 2.059E+03  6.669E+02  1.049E-01
 5.903E+02  3.167E+02  2.879E-01
 1.335E+03  8.355E+02  3.919E-01
 8.935E+02  7.205E+02  6.504E-01
 7.624E+02  5.804E+02  5.797E-01
 1.420E+03  4.324E+02  9.269E-02
 1.734E+03  2.094E+02  1.460E-02
 1.256E+03  8.579E+02  4.667E-01
 8.489E+02  3.348E+02  1.555E-01
 9.208E+02  3.491E+02  1.438E-01
 7.274E+02  4.667E+02  4.117E-01
 1.127E+03  7.013E+02  3.872E-01
 6.694E+02  1.474E+02  4.846E-02
 9.520E+02  5.500E+02  3.338E-01
 1.161E+03  3.613E+02  9.689E-02
 1.885E+03  6.611E+02  1.231E-01
 5.873E+02  3.385E+02  3.322E-01
 1.224E+03  8.403E+02  4.713E-01
 1.116E+03  4.962E+02  1.977E-01
 7.693E+02  6.433E+02  6.992E-01
 1.072E+03  6.823E+02  4.048E-01
 7.997E+02  2.706E+02  1.145E-01
 1.182E+03  5.578E+02  2.227E-01
 3.007E+02  2.905E+02  9.332E-01
 1.307E+03  4.942E+02  1.429E-01
 8.922E+02  2.297E+02  6.631E-02
 9.079E+02  5.633E+02  3.850E-01
 6.143E+02  4.880E+02  6.311E-01
 1.396E+03  4.602E+02  1.087E-01
 1.143E+03  6.582E+02  3.318E-01
 2.260E+03  1.697E+02  5.637E-03
 4.885E+02  2.078E+02  1.811E-01
 6.323E+02  1.854E+02  8.602E-02
 1.035E+03  5.732E+02  3.067E-01
 7.440E+02  3.814E+02  2.627E-01
 3.674E+02  3.379E+02  8.459E-01
 1.056E+03  6.748E+02  4.080E-01
 1.678E+03  5.964E+02  1.264E-01
 1.098E+03  8.050E+02  5.375E-01
 1.762E+03  6.129E+02  1.210E-01
 3.218E+02  2.900E+02  8.119E-01
 1.801E+03  8.414E+02  2.182E-01
 7.439E+02  5.092E+02  4.685E-01
 5.628E+02  4.072E+02  5.236E-01
 9.039E+02  3.550E+02  1.543E-01
 8.372E+02  3.421E+02  1.670E-01
 4.368E+02  3.878E+02  7.880E-01
 1.969E+03  6.485E+02  1.084E-01
 6.752E+02  6.316E+02  8.749E-01
